human,mouse
RGS11,Rgs11
BRAT1,Brat1
THUMPD2,Thumpd2
C3orf18,6430571L13Rik
ANKAR,Ankar
MYL12B,Myl12b
DLGAP5,Dlgap5
SHC2,Shc2
PXK,Pxk
SLC44A4,Slc44a4
MROH7,Mroh7
ARL5B,Arl5b
LINC00890,A730046J19Rik
SNAP25,Snap25
RNF183,Rnf183
NDUFA1,Ndufa1
WSB1,Wsb1
SERPINB9,Serpinb9d
SERPINB9,Serpinb9e
SERPINB9,Serpinb9g
SERPINB9,Gm11397
SERPINB9,Serpinb9c
SERPINB9,Serpinb9
SERPINB9,Serpinb9f
SERPINB9,Serpinb9b
OR6A2,Olfr2
USP13,Usp13
PSG1,Ceacam1
PSG1,Ceacam2
GANC,Ganc
PHF8,4921501E09Rik
PHF8,Phf8
NBAS,Nbas
DLGAP3,Dlgap3
CMBL,Cmbl
CD81,Cd81
RNF113A,Rnf113a2
RNF113A,Rnf113a1
CCER2,Ccer2
HRH1,Hrh1
MRPL20,Mrpl20
RLF,Rlf
ANKEF1,Ankef1
ODF3L2,Odf3l2
SGCG,Sgcg
TMEM114,Tmem114
OR2D2,Gm10081
OR2D2,Olfr715
OR10A2,Olfr714
OR10A2,Olfr713
ASB5,Asb5
STOML3,Stoml3
OR10A5,Olfr714
OR10A5,Olfr713
ASPG,Aspg
CLDN17,Cldn17
ITGAD,Itgad
ARHGDIG,Arhgdig
CLDN8,Cldn8
EXOC3L1,Exoc3l
FAM72C,Fam72a
SPOCK2,Spock2
RGPD6,Ranbp2
SEC24B,Sec24b
SATB1,Satb1
SOGA1,Soga1
OR10A4,Olfr17
OR2D3,Olfr716
FAM234A,Fam234a
TSPAN9,Tspan9
MALRD1,Malrd1
AKR1C2,Akr1c20
AKR1C2,Akr1c18
AKR1C2,Akr1c12
AKR1C2,Akr1c13
AKR1C2,Akr1c19
AKR1C2,Akr1c14
AKR1C2,Akr1c21
AKR1C2,Akr1c6
AKR1C2,Akr1cl
ARHGAP15,Arhgap15
DDAH1,Ddah1
CSAD,Csad
TMEM185A,Tmem185a
NLRP1,Nlrp1b
NLRP1,Nlrp1a
ZMYM6,Zmym6
ESX1,Esx1
ASXL1,Asxl1
ISYNA1,Isyna1
CAPN3,Capn3
LPAR5,Lpar5
IGHV3-38,Ighv5-17
IGHV3-38,Ighv5-6
IGHV3-38,Ighv5-9-1
IGHV3-38,Ighv5-12
IGHV3-38,Ighv5-9
IGHV3-38,Ighv5-16
IGHV3-38,Ighv5-15
IGHV3-38,Ighv5-4
CD79A,Cd79a
BCL10,Bcl10
ANKRD65,Ankrd65
SMIM20,Smim20
IGHV4-39,Ighv3-5
IGHV4-39,Ighv3-6
IGHV4-39,Ighv3-8
IGHV4-39,Ighv3-4
IGHV4-39,Ighv3-3
IGHV4-39,Ighv12-3
IGHV4-39,Ighv3-1
ACRBP,Acrbp
SELENBP1,Selenbp1
SELENBP1,Selenbp2
ITSN2,Itsn2
SLC39A5,Slc39a5
GAPVD1,Gapvd1
PFKFB3,Pfkfb3
PDE4DIP,Pde4dip
SPCS3,Spcs3
SEL1L3,Sel1l3
PLXDC1,Plxdc1
TMEM35B,Tmem35b
LMNTD2,Lmntd2
PLCZ1,Plcz1
KLHDC2,Klhdc2
FUT2,Fut2
DAPL1,Dapl1
BCS1L,Bcs1l
GRK5,Grk5
CENPK,Cenpk
TMEM88B,Tmem88b
CORO1A,Coro1a
WDR31,Wdr31
LRRC56,Lrrc56
TIMM17B,Timm17b
TLE4,Tle4
ESD,Esd
ANKRD52,Ankrd52
RASSF7,Rassf7
SSBP4,Ssbp4
DCST1,Dcst1
SEC24D,Sec24d
IGLC7,Iglc1
IGLC7,Iglc2
IGLC7,Igll1
IGLC7,Iglc4
IGLC7,Iglc3
ZKSCAN8,Zkscan8
IGHV3-43,Ighv5-17
IGHV3-43,Ighv5-6
IGHV3-43,Ighv5-9-1
IGHV3-43,Ighv5-12
IGHV3-43,Ighv5-9
IGHV3-43,Ighv5-16
IGHV3-43,Ighv5-15
IGHV3-43,Ighv5-4
ARRDC4,Arrdc4
VWA1,Vwa1
ACSS1,Acss1
RSPH14,Rsph14
OGT,Ogt
STARD5,Stard5
WDR33,Wdr33
ITGB7,Itgb7
NKG7,Nkg7
PQBP1,Pqbp1
GNAZ,Gnaz
RASSF10,Rassf10
MZT2A,Mzt2
IL16,Il16
PEX5,Pex5
GRIN1,Grin1
TUBA3D,Tuba3a
TBC1D5,Tbc1d5
RAB36,Rab36
ADAM15,Adam15
DZANK1,Dzank1
LIM2,Lim2
SAMHD1,Samhd1
TREM1,Trem1
COLEC11,Colec11
NEMF,Nemf
BCL3,Bcl3
IP6K1,Ip6k1
NINJ1,Ninj1
SFT2D3,Sft2d3
TLDC2,Tldc2
GOLPH3L,Golph3l
COL16A1,Col16a1
HOXA2,Hoxa2
SMARCA2,Smarca2
RNPC3,Rnpc3
KLHL4,Klhl4
IGHV1-45,Ighv1-39
IGHV1-45,Ighv1-12
IGHV1-45,Ighv14-3
IGHV1-45,Ighv1-5
IGHV1-45,Ighv1-42
IGHV1-45,Ighv1-72
IGHV1-45,Ighv1-62-2
IGHV1-45,Ighv1-4
IGHV1-45,Ighv1-23
IGHV1-45,Ighv1-47
IGHV1-45,Ighv1-59
IGHV1-45,Ighv1-58
IGHV1-45,Ighv1-31
IGHV1-45,Ighv1-50
IGHV1-45,Ighv1-62-1
IGHV1-45,Ighv1-55
IGHV1-45,Ighv1-84
IGHV1-45,Ighv1-54
IGHV1-45,Ighv1-66
IGHV1-45,Ighv1-34
IGHV1-45,Ighv1-71
IGHV1-45,Ighv1-43
IGHV1-45,Ighv15-2
IGHV1-45,Ighv1-53
IGHV1-45,Ighv1-7
IGHV1-45,Ighv1-56
IGHV1-45,Ighv1-63
IGHV1-45,Ighv1-69
IGHV1-45,Ighv1-20
IGHV1-45,Ighv1-61
IGHV1-45,Ighv14-4
IGHV1-45,Ighv1-77
IGHV1-45,Ighv1-74
IGHV1-45,Ighv1-62-3
IGHV1-45,Ighv1-9
IGHV1-45,Ighv14-2
IGHV1-45,Ighv1-15
IGHV1-45,Ighv14-1
IGHV1-45,Ighv1-64
SHF,Shf
PIGV,Pigv
IGHV1-46,Ighv1-39
IGHV1-46,Ighv1-12
IGHV1-46,Ighv14-3
IGHV1-46,Ighv1-5
IGHV1-46,Ighv1-42
IGHV1-46,Ighv1-72
IGHV1-46,Ighv1-62-2
IGHV1-46,Ighv1-4
IGHV1-46,Ighv1-23
IGHV1-46,Ighv1-47
IGHV1-46,Ighv1-59
IGHV1-46,Ighv1-58
IGHV1-46,Ighv1-31
IGHV1-46,Ighv1-50
IGHV1-46,Ighv1-62-1
IGHV1-46,Ighv1-55
IGHV1-46,Ighv1-84
IGHV1-46,Ighv1-54
IGHV1-46,Ighv1-66
IGHV1-46,Ighv1-34
IGHV1-46,Ighv1-71
IGHV1-46,Ighv1-43
IGHV1-46,Ighv15-2
IGHV1-46,Ighv1-53
IGHV1-46,Ighv1-7
IGHV1-46,Ighv1-56
IGHV1-46,Ighv1-63
IGHV1-46,Ighv1-69
IGHV1-46,Ighv1-20
IGHV1-46,Ighv1-61
IGHV1-46,Ighv14-4
IGHV1-46,Ighv1-77
IGHV1-46,Ighv1-74
IGHV1-46,Ighv1-62-3
IGHV1-46,Ighv1-9
IGHV1-46,Ighv14-2
IGHV1-46,Ighv1-15
IGHV1-46,Ighv14-1
IGHV1-46,Ighv1-64
KLHL15,Klhl15
NFKBID,Nfkbid
APOM,Apom
RIMS1,Rims1
KLHDC4,Klhdc4
AK5,Ak5
AKAP14,Akap14
ZNF740,Zfp740
IL1RAPL2,Il1rapl2
ZNF142,Zfp142
PKD2,Pkd2
ZMYND11,Zmynd11
POLR3F,Polr3f
AMY2B,Amy2a4
AMY2B,Amy2a2
AMY2B,Amy2a3
AMY2B,Amy1
AMY2B,Amy2a1
AMY2B,Amy2a5
DNAH6,Dnah6
HCST,Hcst
ARSB,Arsb
HOXA7,Hoxa7
NKAP,Nkap
DEK,Dek
MACC1,Macc1
BAG6,Bag6
ZNF131,Zfp131
DUOXA2,Duoxa2
HOXA6,Hoxa6
IFI27,Ifi27
HOXA4,Hoxa4
USP27X,Usp27x
LNPEP,Lnpep
FAS,Fas
IGHV3-48,Ighv5-17
IGHV3-48,Ighv5-6
IGHV3-48,Ighv5-9-1
IGHV3-48,Ighv5-12
IGHV3-48,Ighv5-9
IGHV3-48,Ighv5-16
IGHV3-48,Ighv5-15
IGHV3-48,Ighv5-4
PRPF38B,Prpf38b
DUOXA1,Duoxa1
IGHV3-49,Ighv10-1
IGHV3-49,Ighv13-2
IGHV3-49,Ighv10-3
IGHV3-49,Ighv6-3
IGHV3-49,Ighv6-5
IGHV3-49,Ighv6-6
DIO3,Dio3
SLC2A10,Slc2a10
HOXA3,Hoxa3
SLCO4A1,Slco4a1
SRPK3,Srpk3
PIP5K1B,Pip5k1b
RGS10,Rgs10
LYPD5,Lypd5
HOXA5,Hoxa5
TMCO2,Tmco2
EIF2S3,Eif2s3y
SHROOM3,Shroom3
SDCBP2,Sdcbp2
TMEM205,Tmem205
DDX39A,Ddx39
JPH3,Jph3
FURIN,Furin
COX6A2,Cox6a2
ZFP1,Zfp1
MAPK14,Mapk14
MADCAM1,Madcam1
PSG4,Ceacam1
PSG4,Ceacam2
SACS,Sacs
PSMC1,Psmc1
FKBP1A,Fkbp1a
PEF1,Pef1
PRIM2,Prim2
FAM122A,Fam122a
CTRB2,Ctrb1
DYRK1A,Dyrk1a
CCDC159,Ccdc159
MLF2,Mlf2
RASL11A,Rasl11a
ARMC5,Armc5
C19orf84,Gm42419
C19orf84,Gm38999
TMED5,Tmed5
TPGS1,Tpgs1
CELA1,Cela1
TLCD1,Tlcd1
CXXC1,Cxxc1
DR1,Dr1
NRDE2,Nrde2
SUFU,Sufu
PSG2,Ceacam1
PSG2,Ceacam2
HCRTR1,Hcrtr1
CTRB1,Ctrb1
ZFX,Zfx
ZFX,Zfy1
ZFX,Zfy2
PSG6,Ceacam1
PSG6,Ceacam2
PROSER1,Proser1
PLXNB3,Plxnb3
NEK8,Nek8
CCDC18,Ccdc18
RAB3D,Rab3d
BLVRA,Blvra
CLCN5,Clcn5
PAX3,Pax3
PSG7,Ceacam1
PSG7,Ceacam2
CDHR4,Cdhr4
LCA5,Lca5
MRPS12,Mrps12
TGFA,Tgfa
ITPR3,Itpr3
PSG11,Ceacam1
PSG11,Ceacam2
DYNC1I2,Dync1i2
PRMT2,Prmt2
HESX1,Hesx1
CTSL,Cts3
CTSL,Ctsq
CTSL,Cts8
CTSL,Ctsll3
CTSL,Ctsj
CTSL,BC051665
CTSL,Cts7
CTSL,4930486L24Rik
CTSL,Cts6
CTSL,Ctsm
CTSL,Ctsr
SARS2,Sars2
SH3BGRL2,Sh3bgrl2
NLRP14,Nlrp14
DUOX1,Duox1
ABCD1,Abcd1
PSG5,Ceacam1
PSG5,Ceacam2
LMF1,Lmf1
TMEM210,Tmem210
NTSR1,Ntsr1
PTPRM,Ptprm
LRRC26,Lrrc26
METTL22,Mettl22
PLAA,Plaa
GCNT4,Gcnt4
AREL1,Arel1
PROM2,Prom2
PPP4R4,Ppp4r4
IGHV3-53,Ighv5-17
IGHV3-53,Ighv5-6
IGHV3-53,Ighv5-9-1
IGHV3-53,Ighv5-12
IGHV3-53,Ighv5-9
IGHV3-53,Ighv5-16
IGHV3-53,Ighv5-15
IGHV3-53,Ighv5-4
ZDHHC18,Zdhhc18
JAK2,Jak2
DNAH7,Dnah7c
DNAH7,Dnah7b
IGHV1-58,Ighv1-39
IGHV1-58,Ighv1-12
IGHV1-58,Ighv14-3
IGHV1-58,Ighv1-5
IGHV1-58,Ighv1-42
IGHV1-58,Ighv1-72
IGHV1-58,Ighv1-62-2
IGHV1-58,Ighv1-4
IGHV1-58,Ighv1-23
IGHV1-58,Ighv1-47
IGHV1-58,Ighv1-59
IGHV1-58,Ighv1-58
IGHV1-58,Ighv1-31
IGHV1-58,Ighv1-50
IGHV1-58,Ighv1-62-1
IGHV1-58,Ighv1-55
IGHV1-58,Ighv1-84
IGHV1-58,Ighv1-54
IGHV1-58,Ighv1-66
IGHV1-58,Ighv1-34
IGHV1-58,Ighv1-71
IGHV1-58,Ighv1-43
IGHV1-58,Ighv15-2
IGHV1-58,Ighv1-53
IGHV1-58,Ighv1-7
IGHV1-58,Ighv1-56
IGHV1-58,Ighv1-63
IGHV1-58,Ighv1-69
IGHV1-58,Ighv1-20
IGHV1-58,Ighv1-61
IGHV1-58,Ighv14-4
IGHV1-58,Ighv1-77
IGHV1-58,Ighv1-74
IGHV1-58,Ighv1-62-3
IGHV1-58,Ighv1-9
IGHV1-58,Ighv14-2
IGHV1-58,Ighv1-15
IGHV1-58,Ighv14-1
IGHV1-58,Ighv1-64
LRRC19,Lrrc19
RASL10B,Rasl10b
STX4,Stx4a
IGHV4-61,Ighv3-5
IGHV4-61,Ighv3-6
IGHV4-61,Ighv3-8
IGHV4-61,Ighv3-4
IGHV4-61,Ighv3-3
IGHV4-61,Ighv12-3
IGHV4-61,Ighv3-1
BMP1,Bmp1
IGHV4-59,Ighv3-5
IGHV4-59,Ighv3-6
IGHV4-59,Ighv3-8
IGHV4-59,Ighv3-4
IGHV4-59,Ighv3-3
IGHV4-59,Ighv12-3
IGHV4-59,Ighv3-1
VSX1,Vsx1
AKR1C3,Akr1c20
AKR1C3,Akr1c18
AKR1C3,Akr1c12
AKR1C3,Akr1c13
AKR1C3,Akr1c19
AKR1C3,Akr1c14
AKR1C3,Akr1c21
AKR1C3,Akr1c6
AKR1C3,Akr1cl
STAMBPL1,Stambpl1
IFT74,Ift74
GRPEL1,Grpel1
HEATR9,Heatr9
MYO1F,Myo1f
UQCRH,Uqcrh
ABCG2,Abcg2
ABCG2,Abcg3
PRR27,Prr27
FBXO17,Fbxo17
ETAA1,Etaa1
SLC4A8,Slc4a8
ACTA2,Acta2
FAM110C,Fam110c
ANKRD24,Ankrd24
SLC39A1,Slc39a1
CHST7,Chst7
IER2,Ier2
ZMYND15,Zmynd15
MURC,Murc
KRTAP24-1,Krtap24-1
BSPRY,Bspry
EPS8L3,Eps8l3
PNP,Pnp2
PNP,Pnp
NSUN4,Nsun4
KRTAP26-1,Krtap26-1
ZDHHC23,Zdhhc23
KRTAP27-1,Krtap27-1
GLCE,Glce
UQCC2,Uqcc2
NTAN1,Ntan1
ASB14,Asb14
MTFMT,Mtfmt
KRTAP13-2,Krtap13-1
KRTAP13-2,2310061N02Rik
SERPINB6,Serpinb6a
SERPINB6,Serpinb6b
SERPINB6,Serpinb6c
SERPINB6,Serpinb6d
SERPINB6,Serpinb6e
CBLC,Cblc
TPRG1L,Tprgl
CDH6,Cdh6
TIAL1,Tial1
KRTAP13-1,Krtap13-1
KRTAP13-1,2310061N02Rik
ADK,Adk
ZMPSTE24,Zmpste24
SERTAD1,Sertad1
GRB10,Grb10
KRTAP13-3,2310034C09Rik
KRTAP13-3,Gm5965
KRTAP13-3,2310057N15Rik
KRTAP13-3,Krtap13
HDHD3,Hdhd3
QTRT2,Qtrtd1
APPL1,Appl1
KRTAP13-4,Krtap13-1
KRTAP13-4,2310061N02Rik
ZIC5,Zic5
CSRNP3,Csrnp3
E2F4,E2f4
MMP28,Mmp28
KLHL17,Plekhn1
ZIC2,Zic2
GSTM3,Gstm5
PAFAH1B1,Pafah1b1
SLC9A7,Slc9a7
NFIB,Nfib
DUOX2,Duox2
DOCK1,Dock1
PLPPR1,Plppr1
ATXN3L,Atxn3
RRN3,Rrn3
CLIC4,Clic4
EBI3,Ebi3
PRMT8,Prmt8
CREB3L4,Creb3l4
FAM117B,Fam117b
GSTM5,Gstm3
GSTM5,Gstm2
GSTM5,Gstm4
GSTM5,Gstm6
GSTM5,Gstm1
GSTM5,Gstm7
GSTM5,Gm6665
WNK2,Wnk2
ADAM17,Adam17
C17orf50,1700020L24Rik
TRIM8,Trim8
CCDC191,Ccdc191
TAF15,Taf15
FNDC7,Fndc7
NUDT16,Nudt16
IGHV3-64,Ighv5-17
IGHV3-64,Ighv5-6
IGHV3-64,Ighv5-9-1
IGHV3-64,Ighv5-12
IGHV3-64,Ighv5-9
IGHV3-64,Ighv5-16
IGHV3-64,Ighv5-15
IGHV3-64,Ighv5-4
CYP2C19,Cyp2c40
CYP2C19,Cyp2c29
CYP2C19,Cyp2c38
CYP2C19,Cyp2c69
CYP2C19,Cyp2c66
CYP2C19,Cyp2c37
CYP2C19,Cyp2c54
CYP2C19,Cyp2c65
CYP2C19,Cyp2c68
CYP2C19,Cyp2c50
CYP2C19,Cyp2c67
CYP2C19,Cyp2c39
CHST2,Chst2
HORMAD1,Hormad1
TMX3,Tmx3
PDK3,Pdk3
MBIP,Mbip
SOWAHB,Sowahb
CNTFR,Cntfr
CAPZA3,Capza3
CACFD1,Cacfd1
FBXO46,Fbxo46
TRPM1,Trpm1
MYO3B,Myo3b
FAM169B,Fam169b
IAH1,Iah1
LARP1B,Larp1b
SPEF1,Spef1
CYP2C18,Cyp2c55
ALS2CL,Als2cl
BHMG1,Gm4969
SERPINA10,Serpina10
FAM196A,Fam196a
IGHV3-66,Ighv5-17
IGHV3-66,Ighv5-6
IGHV3-66,Ighv5-9-1
IGHV3-66,Ighv5-12
IGHV3-66,Ighv5-9
IGHV3-66,Ighv5-16
IGHV3-66,Ighv5-15
IGHV3-66,Ighv5-4
SRGAP2B,Srgap2
GALNT6,Galnt6
DCAF11,Dcaf11
SERTAD3,Sertad3
RNPS1,Rnps1
RBP2,Rbp2
ADH5,Adh5
SERPINA6,Serpina6
BUB1,Bub1
PDXDC1,Pdxdc1
POLR2D,Polr2d
SLC8A1,Slc8a1
MAMSTR,Mamstr
RBP1,Rbp1
VSIG4,Vsig4
SLC9A9,Slc9a9
SFN,Sfn
RETNLB,Retnlg
RETNLB,Retnlb
RETNLB,Retnla
ST6GALNAC4,St6galnac4
TANC1,Tanc1
RBL1,Rbl1
FAM212A,Fam212a
NMNAT3,Nmnat3
GPN2,Gpn2
AKAP4,Akap4
RNF151,Rnf151
COX7C,Cox7c
CHL1,Chl1
JTB,Jtb
TNFRSF19,Tnfrsf19
AP2B1,Ap2b1
UBL7,Ubl7
ICA1L,Ica1l
BLVRB,Blvrb
ODAM,Odam
ALAD,Alad
AES,Aes
IGHV1-69,Ighv1-39
IGHV1-69,Ighv1-12
IGHV1-69,Ighv14-3
IGHV1-69,Ighv1-5
IGHV1-69,Ighv1-42
IGHV1-69,Ighv1-72
IGHV1-69,Ighv1-62-2
IGHV1-69,Ighv1-4
IGHV1-69,Ighv1-23
IGHV1-69,Ighv1-47
IGHV1-69,Ighv1-59
IGHV1-69,Ighv1-58
IGHV1-69,Ighv1-31
IGHV1-69,Ighv1-50
IGHV1-69,Ighv1-62-1
IGHV1-69,Ighv1-55
IGHV1-69,Ighv1-84
IGHV1-69,Ighv1-54
IGHV1-69,Ighv1-66
IGHV1-69,Ighv1-34
IGHV1-69,Ighv1-71
IGHV1-69,Ighv1-43
IGHV1-69,Ighv15-2
IGHV1-69,Ighv1-53
IGHV1-69,Ighv1-7
IGHV1-69,Ighv1-56
IGHV1-69,Ighv1-63
IGHV1-69,Ighv1-69
IGHV1-69,Ighv1-20
IGHV1-69,Ighv1-61
IGHV1-69,Ighv14-4
IGHV1-69,Ighv1-77
IGHV1-69,Ighv1-74
IGHV1-69,Ighv1-62-3
IGHV1-69,Ighv1-9
IGHV1-69,Ighv14-2
IGHV1-69,Ighv1-15
IGHV1-69,Ighv14-1
IGHV1-69,Ighv1-64
IGHV2-70D,Ighv8-12
IGHV2-70D,Ighv8-2
IGHV2-70D,Ighv8-6
IGHV2-70D,Ighv8-8
IGHV2-70D,Ighv8-13
IGHV2-70D,Ighv8-5
IGHV2-70D,Ighv8-4
IGHV2-70D,Ighv8-11
IGHV2-70D,Ighv8-9
CENPB,Cenpb
GOLGB1,Golgb1
TRAT1,Trat1
TM4SF5,Tm4sf5
BCAR1,Bcar1
RAP1GAP,Rap1gap
SERPINA2,Serpina1f
BCR,Bcr
EHMT2,Ehmt2
IGHV1-69-2,Ighv1-39
IGHV1-69-2,Ighv1-12
IGHV1-69-2,Ighv14-3
IGHV1-69-2,Ighv1-5
IGHV1-69-2,Ighv1-42
IGHV1-69-2,Ighv1-72
IGHV1-69-2,Ighv1-62-2
IGHV1-69-2,Ighv1-4
IGHV1-69-2,Ighv1-23
IGHV1-69-2,Ighv1-47
IGHV1-69-2,Ighv1-59
IGHV1-69-2,Ighv1-58
IGHV1-69-2,Ighv1-31
IGHV1-69-2,Ighv1-50
IGHV1-69-2,Ighv1-62-1
IGHV1-69-2,Ighv1-55
IGHV1-69-2,Ighv1-84
IGHV1-69-2,Ighv1-54
IGHV1-69-2,Ighv1-66
IGHV1-69-2,Ighv1-34
IGHV1-69-2,Ighv1-71
IGHV1-69-2,Ighv1-43
IGHV1-69-2,Ighv15-2
IGHV1-69-2,Ighv1-53
IGHV1-69-2,Ighv1-7
IGHV1-69-2,Ighv1-56
IGHV1-69-2,Ighv1-63
IGHV1-69-2,Ighv1-69
IGHV1-69-2,Ighv1-20
IGHV1-69-2,Ighv1-61
IGHV1-69-2,Ighv14-4
IGHV1-69-2,Ighv1-77
IGHV1-69-2,Ighv1-74
IGHV1-69-2,Ighv1-62-3
